name,symbol,Date,closingprice
Chevron,CVX,4/30/2021 0:00,103.07
Citigroup,C,4/30/2021 0:00,71.24
Bank of America,BAC,4/30/2021 0:00,40.53
AT&T,T,4/30/2021 0:00,31.41
Caterpillar,CAT,4/30/2021 0:00,228.11
Intel,INTC,4/30/2021 0:00,57.53
Microsoft,MSFT,4/30/2021 0:00,252.18
Alcoa,AA,4/30/2021 0:00,36.64
Ford Motor,F,4/30/2021 0:00,11.54
eBay,EBAY,4/30/2021 0:00,55.79
Dell Tech,DELL,4/30/2021 0:00,98.33
Walt Disney,DIS,4/30/2021 0:00,186.02
Dow,DOW,4/30/2021 0:00,62.5
Cisco,CSCO,4/30/2021 0:00,50.91
Deere&Company,DE,4/30/2021 0:00,370.85
FedEx,FDX,4/30/2021 0:00,290.31
General Mills,GIS,4/30/2021 0:00,60.86
Corning,GLW,4/30/2021 0:00,44.21
The Goodyear Tire&Rubber,GT,4/30/2021 0:00,17.21
Goldman Sachs,GS,4/30/2021 0:00,348.45
JPMorgan,JPM,4/30/2021 0:00,153.81
Kimberly-Clark,KMB,4/30/2021 0:00,133.32
Kraft Heinz,KHC,4/30/2021 0:00,41.29
Coca-Cola,KO,4/30/2021 0:00,53.98
McDonald’s,MCD,4/30/2021 0:00,236.08
Eli Lilly,LLY,4/30/2021 0:00,182.77
Oracle,ORCL,4/30/2021 0:00,75.79
Merck&Co,MRK,4/30/2021 0:00,74.5
Motorola,MSI,4/30/2021 0:00,188.3
3M,MMM,4/30/2021 0:00,197.14
Office Depot,ODP,4/30/2021 0:00,40.43
Vertex,VRTX,4/30/2021 0:00,218.2
Monster Beverage,MNST,4/30/2021 0:00,97.05
Teva ADR,TEVA,4/30/2021 0:00,10.7
Fifth Third,FITB,4/30/2021 0:00,40.54
Sears,SHLDQ,4/30/2021 0:00,0.27
Cintas,CTAS,4/30/2021 0:00,345.14
Autodesk,ADSK,4/30/2021 0:00,291.91
DISH Network,DISH,4/30/2021 0:00,44.79
Gilead,GILD,4/30/2021 0:00,63.47
aTyr Pharma,LIFE,4/30/2021 0:00,4.05
Alphabet A,GOOGL,4/30/2021 0:00,2353.5
Fiserv,FISV,4/30/2021 0:00,120.12
Liberty Global,LBTYA,4/30/2021 0:00,26.9
Adobe,ADBE,4/30/2021 0:00,508.34
BlackBerry,BB,4/30/2021 0:00,8.83
Qualcomm,QCOM,4/30/2021 0:00,138.8
Baidu,BIDU,4/30/2021 0:00,210.33
Sohu.Com,SOHU,4/30/2021 0:00,18.87
Discovery A,DISCA,4/30/2021 0:00,37.66
Ribbon Com,RBBN,4/30/2021 0:00,6.75
Applied Materials,AMAT,4/30/2021 0:00,132.71
Steel Dynamics,STLD,4/30/2021 0:00,54.22
Cadence Design,CDNS,4/30/2021 0:00,131.77
Bed Bath&Beyond,BBBY,4/30/2021 0:00,25.32
Microchip,MCHP,4/30/2021 0:00,150.29
Wynn Resorts,WYNN,4/30/2021 0:00,128.4
Intuitive Surgical,ISRG,4/30/2021 0:00,865
Nasdaq Inc,NDAQ,4/30/2021 0:00,161.54
Ryanair ADR,RYAAY,4/30/2021 0:00,116.85
Infosys ADR,INFY,4/30/2021 0:00,18.08
JetBlue,JBLU,4/30/2021 0:00,20.36
Spartan Motors,SPAR,4/30/2021 0:00,35.42
Henry Schein,HSIC,4/30/2021 0:00,72.5
Paychex,PAYX,4/30/2021 0:00,97.49
VeriSign,VRSN,4/30/2021 0:00,218.77
Apple,AAPL,4/30/2021 0:00,131.46
Fastenal,FAST,4/30/2021 0:00,52.28
Dentsply,XRAY,4/30/2021 0:00,67.51
Crocs,CROX,4/30/2021 0:00,100.12
Zions,ZION,4/30/2021 0:00,55.8
Northern Trust,NTRS,4/30/2021 0:00,113.8
Citrix Systems,CTXS,4/30/2021 0:00,123.85
Lamar,LAMR,4/30/2021 0:00,99.04
Patterson-UTI Energy,PTEN,4/30/2021 0:00,6.76
Atlanticuss,ATLC,4/30/2021 0:00,31.26
CH Robinson,CHRW,4/30/2021 0:00,97.08
Sirius XM,SIRI,4/30/2021 0:00,6.1
Alpine Immune Sciences,ALPN,4/30/2021 0:00,13.27
PACCAR,PCAR,4/30/2021 0:00,89.88
Pan American Silver,PAAS,4/30/2021 0:00,31.82
Amazon.com,AMZN,4/30/2021 0:00,3467.42
Ross Stores,ROST,4/30/2021 0:00,130.94
Viavi Solutions,VIAV,4/30/2021 0:00,16.36
NetEase,NTES,4/30/2021 0:00,112.06
NetApp,NTAP,4/30/2021 0:00,74.69
Garmin,GRMN,4/30/2021 0:00,137.24
Costco,COST,4/30/2021 0:00,372.09
Check Point Software,CHKP,4/30/2021 0:00,116.81
Lam Research,LRCX,4/30/2021 0:00,620.45
Ciena Corp,CIEN,4/30/2021 0:00,50.47
IAC/InterActiveCorp,IAC,4/30/2021 0:00,253.47
Intuit,INTU,4/30/2021 0:00,412.16
Expedia,EXPE,4/30/2021 0:00,176.23
Trip.com ADR,TCOM,4/30/2021 0:00,39.08
UTStarcom,UTSI,4/30/2021 0:00,1.39
Cognizant A,CTSH,4/30/2021 0:00,80.4
Rambus,RMBS,4/30/2021 0:00,18.98
YRC Worldwide,YRCW,4/30/2021 0:00,9.17
Akamai,AKAM,4/30/2021 0:00,108.7
KLA-Tencor,KLAC,4/30/2021 0:00,315.35
Juniper,JNPR,4/30/2021 0:00,25.39
Activision Blizzard,ATVI,4/30/2021 0:00,91.19
Flex,FLEX,4/30/2021 0:00,17.4
Amgen,AMGN,4/30/2021 0:00,239.64
Xilinx,XLNX,4/30/2021 0:00,127.96
Expeditors Washington,EXPD,4/30/2021 0:00,109.86
Electronic Arts,EA,4/30/2021 0:00,142.08
Patterson,PDCO,4/30/2021 0:00,32.14
T Rowe,TROW,4/30/2021 0:00,179.2
Biogen,BIIB,4/30/2021 0:00,267.33
Qurate Retail A,QRTEA,4/30/2021 0:00,11.9
Charles Schwab,SCHW,4/30/2021 0:00,70.4
Huntington Bancshares,HBAN,4/30/2021 0:00,15.32
NortonLifeLock,NLOK,4/30/2021 0:00,21.61
NVIDIA,NVDA,4/30/2021 0:00,600.38
Stericycle,SRCL,4/30/2021 0:00,76.28
Starbucks,SBUX,4/30/2021 0:00,114.49
Cincinnati Financial,CINF,4/30/2021 0:00,112.68
Extreme,EXTR,4/30/2021 0:00,11.38
Axon Enterprise,AAXN,4/30/2021 0:00,151.61
Hologic,HOLX,4/30/2021 0:00,65.55
Comcast,CMCSA,4/30/2021 0:00,56.15
Capstone Turbine,CPST,4/30/2021 0:00,8.06
Marvell,MRVL,4/30/2021 0:00,45.21
Ballard,BLDP,4/30/2021 0:00,21.87
Sify,SIFY,4/30/2021 0:00,2.8
Nexus Energy,IBGR,4/30/2021 0:00,0.0496
Medtronic,MDT,4/30/2021 0:00,130.92
Dover,DOV,4/30/2021 0:00,149.19
Ashland Global,ASH,4/30/2021 0:00,86.21
Northrop Grumman,NOC,4/30/2021 0:00,354.44
MGM,MGM,4/30/2021 0:00,40.72
Vornado,VNO,4/30/2021 0:00,45.75
Mastercard,MA,4/30/2021 0:00,382.06
AutoNation,AN,4/30/2021 0:00,102.48
Fluor,FLR,4/30/2021 0:00,22.98
General Dynamics,GD,4/30/2021 0:00,190.23
DTE Energy,DTE,4/30/2021 0:00,140.02
Analog Devices,ADI,4/30/2021 0:00,153.16
VF,VFC,4/30/2021 0:00,87.66
Cardinal Health,CAH,4/30/2021 0:00,60.34
Xcel Energy,XEL,4/30/2021 0:00,71.3
DR Horton,DHI,4/30/2021 0:00,98.29
IPG,IPG,4/30/2021 0:00,31.75
Lockheed Martin,LMT,4/30/2021 0:00,380.56
Waters,WAT,4/30/2021 0:00,299.87
Accenture,ACN,4/30/2021 0:00,289.97
Dominion Energy,D,4/30/2021 0:00,79.9
Exxon Mobil,XOM,4/30/2021 0:00,57.24
Cigna,CI,4/30/2021 0:00,249.01
Piper Jaffray,PJC,4/30/2021 0:00,115.99
Kinross Gold,KGC,4/30/2021 0:00,7.04
Public Service Enterprise,PEG,4/30/2021 0:00,63.16
NiSource,NI,4/30/2021 0:00,26.02
Zimmer Biomet,ZBH,4/30/2021 0:00,177.16
CSX,CSX,4/30/2021 0:00,100.75
ICE,ICE,4/30/2021 0:00,117.71
Southwest Airlines,LUV,4/30/2021 0:00,62.78
Illinois Tool Works,ITW,4/30/2021 0:00,230.46
Darden Restaurants,DRI,4/30/2021 0:00,146.72
Mattel,MAT,4/30/2021 0:00,21.46
BB&T,BBT,4/30/2021 0:00,59.31
Cameco,CCJ,4/30/2021 0:00,16.81
Halliburton,HAL,4/30/2021 0:00,19.56
Prologis,PLD,4/30/2021 0:00,116.53
McCormick&Co,MKC,4/30/2021 0:00,90.36
Gap,GPS,4/30/2021 0:00,33.1
Terex,TEX,4/30/2021 0:00,46.99
Host Hotels Resorts,HST,4/30/2021 0:00,18.16
Estee Lauder,EL,4/30/2021 0:00,313.8
International Paper,IP,4/30/2021 0:00,58
Emerson,EMR,4/30/2021 0:00,90.49
Clorox,CLX,4/30/2021 0:00,182.5
ConocoPhillips,COP,4/30/2021 0:00,51.14
Colgate-Palmolive,CL,4/30/2021 0:00,80.7
Pinnacle West,PNW,4/30/2021 0:00,84.65
Regions Financial,RF,4/30/2021 0:00,21.8
CenterPoint Energy,CNP,4/30/2021 0:00,24.49
MetLife,MET,4/30/2021 0:00,63.63
Exelon,EXC,4/30/2021 0:00,44.94
Baxter,BAX,4/30/2021 0:00,85.69
Occidental,OXY,4/30/2021 0:00,25.36
Southern,SO,4/30/2021 0:00,66.17
Tapestry,TPR,4/30/2021 0:00,47.85
Lennar,LEN,4/30/2021 0:00,103.6
Campbell Soup,CPB,4/30/2021 0:00,47.75
CenturyLink,CTL,4/30/2021 0:00,12.83
State Street,STT,4/30/2021 0:00,83.95
